itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
HVAC-0456,hvac,HVAC Dampers,Non-Return Damper,"Supply, install, connect, test and commission non-return damper, complete with sleeves, access provisions and actuator where applicable. | MasterFormat: 23 33 00 | OmniClass: 23-33 33 00 Air Duct Accessories | Spec: Size: ___ | Material: ___ | Leakage Class: ___ | Fire Rating: ___ | Actuator: ___ | Control Signal: ___ | Standard: ___",,no.,,,,,,,
HVAC-0457,hvac,Air Terminals and Louvers,Square Ceiling Diffuser,"Supply and install square ceiling diffuser, complete with frame, opposed blade damper or plenum where specified. | MasterFormat: 23 37 00 | OmniClass: 23-33 37 00 Air Outlets and Inlets | Spec: Neck/Face Size: ___ | Airflow: ___ | Throw: ___ | NC Rating: ___ | Material: ___ | Finish: ___ | Standard: ___",,no.,,,,,,,
HVAC-0458,hvac,Air Terminals and Louvers,Linear Slot Diffuser,"Supply and install linear slot diffuser, complete with frame, opposed blade damper or plenum where specified. | MasterFormat: 23 37 00 | OmniClass: 23-33 37 00 Air Outlets and Inlets | Spec: Neck/Face Size: ___ | Airflow: ___ | Throw: ___ | NC Rating: ___ | Material: ___ | Finish: ___ | Standard: ___",,no.,,,,,,,
HVAC-0459,hvac,Air Terminals and Louvers,Round Ceiling Diffuser,"Supply and install round ceiling diffuser, complete with frame, opposed blade damper or plenum where specified. | MasterFormat: 23 37 00 | OmniClass: 23-33 37 00 Air Outlets and Inlets | Spec: Neck/Face Size: ___ | Airflow: ___ | Throw: ___ | NC Rating: ___ | Material: ___ | Finish: ___ | Standard: ___",,no.,,,,,,,
HVAC-0460,hvac,Air Terminals and Louvers,Swirl Diffuser,"Supply and install swirl diffuser, complete with frame, opposed blade damper or plenum where specified. | MasterFormat: 23 37 00 | OmniClass: 23-33 37 00 Air Outlets and Inlets | Spec: Neck/Face Size: ___ | Airflow: ___ | Throw: ___ | NC Rating: ___ | Material: ___ | Finish: ___ | Standard: ___",,no.,,,,,,,
HVAC-0461,hvac,Air Terminals and Louvers,Perforated Face Diffuser,"Supply and install perforated face diffuser, complete with frame, opposed blade damper or plenum where specified. | MasterFormat: 23 37 00 | OmniClass: 23-33 37 00 Air Outlets and Inlets | Spec: Neck/Face Size: ___ | Airflow: ___ | Throw: ___ | NC Rating: ___ | Material: ___ | Finish: ___ | Standard: ___",,no.,,,,,,,
HVAC-0462,hvac,Air Terminals and Louvers,Floor Diffuser,"Supply and install floor diffuser, complete with frame, opposed blade damper or plenum where specified. | MasterFormat: 23 37 00 | OmniClass: 23-33 37 00 Air Outlets and Inlets | Spec: Neck/Face Size: ___ | Airflow: ___ | Throw: ___ | NC Rating: ___ | Material: ___ | Finish: ___ | Standard: ___",,no.,,,,,,,
HVAC-0463,hvac,Air Terminals and Louvers,Displacement Ventilation Diffuser,"Supply and install displacement ventilation diffuser, complete with frame, opposed blade damper or plenum where specified. | MasterFormat: 23 37 00 | OmniClass: 23-33 37 00 Air Outlets and Inlets | Spec: Neck/Face Size: ___ | Airflow: ___ | Throw: ___ | NC Rating: ___ | Material: ___ | Finish: ___ | Standard: ___",,no.,,,,,,,
HVAC-0464,hvac,Air Terminals and Louvers,Jet Nozzle Diffuser,"Supply and install jet nozzle diffuser, complete with frame, opposed blade damper or plenum where specified. | MasterFormat: 23 37 00 | OmniClass: 23-33 37 00 Air Outlets and Inlets | Spec: Neck/Face Size: ___ | Airflow: ___ | Throw: ___ | NC Rating: ___ | Material: ___ | Finish: ___ | Standard: ___",,no.,,,,,,,
HVAC-0465,hvac,Air Terminals and Louvers,Drum Louver,"Supply and install drum louver, complete with frame, opposed blade damper or plenum where specified. | MasterFormat: 23 37 00 | OmniClass: 23-33 37 00 Air Outlets and Inlets | Spec: Neck/Face Size: ___ | Airflow: ___ | Throw: ___ | NC Rating: ___ | Material: ___ | Finish: ___ | Standard: ___",,no.,,,,,,,
HVAC-0466,hvac,Air Terminals and Louvers,Egg-Crate Return Grille,"Supply and install egg-crate return grille, complete with frame, opposed blade damper or plenum where specified. | MasterFormat: 23 37 00 | OmniClass: 23-33 37 00 Air Outlets and Inlets | Spec: Neck/Face Size: ___ | Airflow: ___ | Throw: ___ | NC Rating: ___ | Material: ___ | Finish: ___ | Standard: ___",,no.,,,,,,,
HVAC-0467,hvac,Air Terminals and Louvers,Return Air Grille,"Supply and install return air grille, complete with frame, opposed blade damper or plenum where specified. | MasterFormat: 23 37 00 | OmniClass: 23-33 37 00 Air Outlets and Inlets | Spec: Neck/Face Size: ___ | Airflow: ___ | Throw: ___ | NC Rating: ___ | Material: ___ | Finish: ___ | Standard: ___",,no.,,,,,,,
HVAC-0468,hvac,Air Terminals and Louvers,Exhaust Air Grille,"Supply and install exhaust air grille, complete with frame, opposed blade damper or plenum where specified. | MasterFormat: 23 37 00 | OmniClass: 23-33 37 00 Air Outlets and Inlets | Spec: Neck/Face Size: ___ | Airflow: ___ | Throw: ___ | NC Rating: ___ | Material: ___ | Finish: ___ | Standard: ___",,no.,,,,,,,
HVAC-0469,hvac,Air Terminals and Louvers,Transfer Air Grille,"Supply and install transfer air grille, complete with frame, opposed blade damper or plenum where specified. | MasterFormat: 23 37 00 | OmniClass: 23-33 37 00 Air Outlets and Inlets | Spec: Neck/Face Size: ___ | Airflow: ___ | Throw: ___ | NC Rating: ___ | Material: ___ | Finish: ___ | Standard: ___",,no.,,,,,,,
HVAC-0470,hvac,Air Terminals and Louvers,Linear Bar Grille,"Supply and install linear bar grille, complete with frame, opposed blade damper or plenum where specified. | MasterFormat: 23 37 00 | OmniClass: 23-33 37 00 Air Outlets and Inlets | Spec: Neck/Face Size: ___ | Airflow: ___ | Throw: ___ | NC Rating: ___ | Material: ___ | Finish: ___ | Standard: ___",,no.,,,,,,,
HVAC-0471,hvac,Air Terminals and Louvers,Door Transfer Grille,"Supply and install door transfer grille, complete with frame, opposed blade damper or plenum where specified. | MasterFormat: 23 37 00 | OmniClass: 23-33 37 00 Air Outlets and Inlets | Spec: Neck/Face Size: ___ | Airflow: ___ | Throw: ___ | NC Rating: ___ | Material: ___ | Finish: ___ | Standard: ___",,no.,,,,,,,
HVAC-0472,hvac,Air Terminals and Louvers,Weather Louver,"Supply and install weather louver, complete with frame, opposed blade damper or plenum where specified. | MasterFormat: 23 37 00 | OmniClass: 23-33 37 00 Air Outlets and Inlets | Spec: Neck/Face Size: ___ | Airflow: ___ | Throw: ___ | NC Rating: ___ | Material: ___ | Finish: ___ | Standard: ___",,no.,,,,,,,
HVAC-0473,hvac,Air Terminals and Louvers,Acoustic Louver,"Supply and install acoustic louver, complete with frame, opposed blade damper or plenum where specified. | MasterFormat: 23 37 00 | OmniClass: 23-33 37 00 Air Outlets and Inlets | Spec: Neck/Face Size: ___ | Airflow: ___ | Throw: ___ | NC Rating: ___ | Material: ___ | Finish: ___ | Standard: ___",,no.,,,,,,,
HVAC-0474,hvac,Air Terminals and Louvers,Sand Trap Louver,"Supply and install sand trap louver, complete with frame, opposed blade damper or plenum where specified. | MasterFormat: 23 37 00 | OmniClass: 23-33 37 00 Air Outlets and Inlets | Spec: Neck/Face Size: ___ | Airflow: ___ | Throw: ___ | NC Rating: ___ | Material: ___ | Finish: ___ | Standard: ___",,no.,,,,,,,
HVAC-0475,hvac,Air Terminals and Louvers,Intake Louver With Bird Screen,"Supply and install intake louver with bird screen, complete with frame, opposed blade damper or plenum where specified. | MasterFormat: 23 37 00 | OmniClass: 23-33 37 00 Air Outlets and Inlets | Spec: Neck/Face Size: ___ | Airflow: ___ | Throw: ___ | NC Rating: ___ | Material: ___ | Finish: ___ | Standard: ___",,no.,,,,,,,
HVAC-0476,hvac,Air Terminals and Louvers,External Wall Cowl,"Supply and install external wall cowl, complete with frame, opposed blade damper or plenum where specified. | MasterFormat: 23 37 00 | OmniClass: 23-33 37 00 Air Outlets and Inlets | Spec: Neck/Face Size: ___ | Airflow: ___ | Throw: ___ | NC Rating: ___ | Material: ___ | Finish: ___ | Standard: ___",,no.,,,,,,,
HVAC-0477,hvac,Air Terminals and Louvers,Roof Exhaust Cowl,"Supply and install roof exhaust cowl, complete with frame, opposed blade damper or plenum where specified. | MasterFormat: 23 37 00 | OmniClass: 23-33 37 00 Air Outlets and Inlets | Spec: Neck/Face Size: ___ | Airflow: ___ | Throw: ___ | NC Rating: ___ | Material: ___ | Finish: ___ | Standard: ___",,no.,,,,,,,
HVAC-0478,hvac,Air Terminals and Louvers,Disc Valve Supply,"Supply and install disc valve supply, complete with frame, opposed blade damper or plenum where specified. | MasterFormat: 23 37 00 | OmniClass: 23-33 37 00 Air Outlets and Inlets | Spec: Neck/Face Size: ___ | Airflow: ___ | Throw: ___ | NC Rating: ___ | Material: ___ | Finish: ___ | Standard: ___",,no.,,,,,,,
HVAC-0479,hvac,Air Terminals and Louvers,Disc Valve Exhaust,"Supply and install disc valve exhaust, complete with frame, opposed blade damper or plenum where specified. | MasterFormat: 23 37 00 | OmniClass: 23-33 37 00 Air Outlets and Inlets | Spec: Neck/Face Size: ___ | Airflow: ___ | Throw: ___ | NC Rating: ___ | Material: ___ | Finish: ___ | Standard: ___",,no.,,,,,,,
HVAC-0480,hvac,Air Terminals and Louvers,Air Terminal Plenum Box,"Supply and install air terminal plenum box, complete with frame, opposed blade damper or plenum where specified. | MasterFormat: 23 37 00 | OmniClass: 23-33 37 00 Air Outlets and Inlets | Spec: Neck/Face Size: ___ | Airflow: ___ | Throw: ___ | NC Rating: ___ | Material: ___ | Finish: ___ | Standard: ___",,no.,,,,,,,
HVAC-0481,hvac,Air Terminals and Louvers,Diffuser Opposed Blade Damper,"Supply and install diffuser opposed blade damper, complete with frame, opposed blade damper or plenum where specified. | MasterFormat: 23 37 00 | OmniClass: 23-33 37 00 Air Outlets and Inlets | Spec: Neck/Face Size: ___ | Airflow: ___ | Throw: ___ | NC Rating: ___ | Material: ___ | Finish: ___ | Standard: ___",,no.,,,,,,,
HVAC-0482,hvac,Air Terminals and Louvers,Grille Volume Control Damper,"Supply and install grille volume control damper, complete with frame, opposed blade damper or plenum where specified. | MasterFormat: 23 37 00 | OmniClass: 23-33 37 00 Air Outlets and Inlets | Spec: Neck/Face Size: ___ | Airflow: ___ | Throw: ___ | NC Rating: ___ | Material: ___ | Finish: ___ | Standard: ___",,no.,,,,,,,
HVAC-0483,hvac,HVAC Fans,Centrifugal Cabinet Fan,"Supply, install, connect, test and commission centrifugal cabinet fan, complete with motor, isolators, guards and standard accessories. | MasterFormat: 23 34 00 | OmniClass: 23-33 34 00 HVAC Fans | Spec: Airflow: ___ | External Static Pressure: ___ | Motor Power: ___ | Efficiency: ___ | Sound Level: ___ | Fire Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0484,hvac,HVAC Fans,Centrifugal Inline Fan,"Supply, install, connect, test and commission centrifugal inline fan, complete with motor, isolators, guards and standard accessories. | MasterFormat: 23 34 00 | OmniClass: 23-33 34 00 HVAC Fans | Spec: Airflow: ___ | External Static Pressure: ___ | Motor Power: ___ | Efficiency: ___ | Sound Level: ___ | Fire Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0485,hvac,HVAC Fans,Axial Inline Fan,"Supply, install, connect, test and commission axial inline fan, complete with motor, isolators, guards and standard accessories. | MasterFormat: 23 34 00 | OmniClass: 23-33 34 00 HVAC Fans | Spec: Airflow: ___ | External Static Pressure: ___ | Motor Power: ___ | Efficiency: ___ | Sound Level: ___ | Fire Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0486,hvac,HVAC Fans,Mixed-Flow Inline Fan,"Supply, install, connect, test and commission mixed-flow inline fan, complete with motor, isolators, guards and standard accessories. | MasterFormat: 23 34 00 | OmniClass: 23-33 34 00 HVAC Fans | Spec: Airflow: ___ | External Static Pressure: ___ | Motor Power: ___ | Efficiency: ___ | Sound Level: ___ | Fire Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0487,hvac,HVAC Fans,Roof Exhaust Fan,"Supply, install, connect, test and commission roof exhaust fan, complete with motor, isolators, guards and standard accessories. | MasterFormat: 23 34 00 | OmniClass: 23-33 34 00 HVAC Fans | Spec: Airflow: ___ | External Static Pressure: ___ | Motor Power: ___ | Efficiency: ___ | Sound Level: ___ | Fire Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0488,hvac,HVAC Fans,Wall Exhaust Fan,"Supply, install, connect, test and commission wall exhaust fan, complete with motor, isolators, guards and standard accessories. | MasterFormat: 23 34 00 | OmniClass: 23-33 34 00 HVAC Fans | Spec: Airflow: ___ | External Static Pressure: ___ | Motor Power: ___ | Efficiency: ___ | Sound Level: ___ | Fire Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0489,hvac,HVAC Fans,Ceiling Exhaust Fan,"Supply, install, connect, test and commission ceiling exhaust fan, complete with motor, isolators, guards and standard accessories. | MasterFormat: 23 34 00 | OmniClass: 23-33 34 00 HVAC Fans | Spec: Airflow: ___ | External Static Pressure: ___ | Motor Power: ___ | Efficiency: ___ | Sound Level: ___ | Fire Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0490,hvac,HVAC Fans,Kitchen Exhaust Fan,"Supply, install, connect, test and commission kitchen exhaust fan, complete with motor, isolators, guards and standard accessories. | MasterFormat: 23 34 00 | OmniClass: 23-33 34 00 HVAC Fans | Spec: Airflow: ___ | External Static Pressure: ___ | Motor Power: ___ | Efficiency: ___ | Sound Level: ___ | Fire Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0491,hvac,HVAC Fans,Smoke Extract Fan,"Supply, install, connect, test and commission smoke extract fan, complete with motor, isolators, guards and standard accessories. | MasterFormat: 23 34 00 | OmniClass: 23-33 34 00 HVAC Fans | Spec: Airflow: ___ | External Static Pressure: ___ | Motor Power: ___ | Efficiency: ___ | Sound Level: ___ | Fire Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0492,hvac,HVAC Fans,Staircase Pressurization Fan,"Supply, install, connect, test and commission staircase pressurization fan, complete with motor, isolators, guards and standard accessories. | MasterFormat: 23 34 00 | OmniClass: 23-33 34 00 HVAC Fans | Spec: Airflow: ___ | External Static Pressure: ___ | Motor Power: ___ | Efficiency: ___ | Sound Level: ___ | Fire Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0493,hvac,HVAC Fans,Car Park Supply Fan,"Supply, install, connect, test and commission car park supply fan, complete with motor, isolators, guards and standard accessories. | MasterFormat: 23 34 00 | OmniClass: 23-33 34 00 HVAC Fans | Spec: Airflow: ___ | External Static Pressure: ___ | Motor Power: ___ | Efficiency: ___ | Sound Level: ___ | Fire Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0494,hvac,HVAC Fans,Car Park Extract Fan,"Supply, install, connect, test and commission car park extract fan, complete with motor, isolators, guards and standard accessories. | MasterFormat: 23 34 00 | OmniClass: 23-33 34 00 HVAC Fans | Spec: Airflow: ___ | External Static Pressure: ___ | Motor Power: ___ | Efficiency: ___ | Sound Level: ___ | Fire Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0495,hvac,HVAC Fans,Jet Fan,"Supply, install, connect, test and commission jet fan, complete with motor, isolators, guards and standard accessories. | MasterFormat: 23 34 00 | OmniClass: 23-33 34 00 HVAC Fans | Spec: Airflow: ___ | External Static Pressure: ___ | Motor Power: ___ | Efficiency: ___ | Sound Level: ___ | Fire Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0496,hvac,HVAC Fans,Induced Flow Laboratory Exhaust Fan,"Supply, install, connect, test and commission induced flow laboratory exhaust fan, complete with motor, isolators, guards and standard accessories. | MasterFormat: 23 34 00 | OmniClass: 23-33 34 00 HVAC Fans | Spec: Airflow: ___ | External Static Pressure: ___ | Motor Power: ___ | Efficiency: ___ | Sound Level: ___ | Fire Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0497,hvac,HVAC Fans,Bifurcated Fan,"Supply, install, connect, test and commission bifurcated fan, complete with motor, isolators, guards and standard accessories. | MasterFormat: 23 34 00 | OmniClass: 23-33 34 00 HVAC Fans | Spec: Airflow: ___ | External Static Pressure: ___ | Motor Power: ___ | Efficiency: ___ | Sound Level: ___ | Fire Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0498,hvac,HVAC Fans,Plug Fan,"Supply, install, connect, test and commission plug fan, complete with motor, isolators, guards and standard accessories. | MasterFormat: 23 34 00 | OmniClass: 23-33 34 00 HVAC Fans | Spec: Airflow: ___ | External Static Pressure: ___ | Motor Power: ___ | Efficiency: ___ | Sound Level: ___ | Fire Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0499,hvac,HVAC Fans,Tube Axial Fan,"Supply, install, connect, test and commission tube axial fan, complete with motor, isolators, guards and standard accessories. | MasterFormat: 23 34 00 | OmniClass: 23-33 34 00 HVAC Fans | Spec: Airflow: ___ | External Static Pressure: ___ | Motor Power: ___ | Efficiency: ___ | Sound Level: ___ | Fire Rating: ___ | Standard: ___",,no.,,,,,,,
HVAC-0500,hvac,HVAC Fans,Vane Axial Fan,"Supply, install, connect, test and commission vane axial fan, complete with motor, isolators, guards and standard accessories. | MasterFormat: 23 34 00 | OmniClass: 23-33 34 00 HVAC Fans | Spec: Airflow: ___ | External Static Pressure: ___ | Motor Power: ___ | Efficiency: ___ | Sound Level: ___ | Fire Rating: ___ | Standard: ___",,no.,,,,,,,
